,date,confirmed_cases_cumulative,confirmed_cases,7dconfirmed_cases,inc,Face_Masks_Required_in_Public
297,2020-11-24,33963,365.0,541.8571428571429,6.85714285714289,Yes
298,2020-11-25,34687,724.0,570.2857142857143,28.428571428571445,Yes
299,2020-11-26,34687,0.0,468.0,-102.28571428571433,Yes
300,2020-11-27,35935,1248.0,551.7142857142857,83.71428571428567,Yes
301,2020-11-28,36419,484.0,540.1428571428571,-11.571428571428555,Yes
302,2020-11-29,36881,462.0,532.2857142857143,-7.857142857142776,Yes
303,2020-11-30,37230,349.0,518.8571428571429,-13.428571428571445,Yes
304,2020-12-01,37901,671.0,562.5714285714286,43.714285714285666,Yes
305,2020-12-02,38587,686.0,557.1428571428571,-5.428571428571445,Yes
306,2020-12-03,39246,659.0,651.2857142857143,94.14285714285722,Yes
307,2020-12-04,39814,568.0,554.1428571428571,-97.14285714285722,Yes
308,2020-12-05,40383,569.0,566.2857142857143,12.142857142857224,Yes
309,2020-12-06,40817,434.0,562.2857142857143,-4.0,Yes
310,2020-12-07,41168,351.0,562.5714285714286,0.28571428571422075,Yes
311,2020-12-08,41638,470.0,533.8571428571429,-28.714285714285666,Yes
312,2020-12-09,42348,710.0,537.2857142857143,3.428571428571445,Yes
313,2020-12-10,43006,658.0,537.1428571428571,-0.14285714285722406,Yes
314,2020-12-11,43503,497.0,527.0,-10.14285714285711,Yes
315,2020-12-12,44085,582.0,528.8571428571429,1.8571428571428896,Yes
316,2020-12-13,44530,445.0,530.4285714285714,1.5714285714285552,Yes
317,2020-12-14,44876,346.0,529.7142857142857,-0.7142857142857792,Yes
318,2020-12-15,45284,408.0,520.8571428571429,-8.857142857142776,Yes
319,2020-12-16,45622,338.0,467.7142857142857,-53.14285714285717,Yes
320,2020-12-17,46109,487.0,443.2857142857143,-24.428571428571445,Yes
321,2020-12-18,46556,447.0,436.14285714285717,-7.14285714285711,Yes
322,2020-12-19,46964,408.0,411.2857142857143,-24.85714285714289,Yes
323,2020-12-20,47242,278.0,387.42857142857144,-23.857142857142833,Yes
324,2020-12-21,47617,375.0,391.57142857142856,4.14285714285711,Yes
325,2020-12-22,48070,453.0,398.0,6.428571428571445,Yes
326,2020-12-23,48487,417.0,409.2857142857143,11.285714285714278,Yes
327,2020-12-24,48487,0.0,339.7142857142857,-69.57142857142856,Yes
328,2020-12-25,48487,0.0,275.85714285714283,-63.85714285714289,Yes
329,2020-12-26,49497,1010.0,361.85714285714283,86.0,Yes
330,2020-12-27,49671,174.0,347.0,-14.857142857142833,Yes
331,2020-12-28,49891,220.0,324.85714285714283,-22.142857142857167,Yes
332,2020-12-29,50287,396.0,316.7142857142857,-8.14285714285711,Yes
333,2020-12-30,50804,517.0,331.0,14.285714285714278,Yes
334,2020-12-31,50804,0.0,331.0,0.0,Yes
335,2021-01-01,50804,0.0,331.0,0.0,Yes
336,2021-01-02,52240,1436.0,391.85714285714283,60.85714285714283,Yes
337,2021-01-03,52652,412.0,425.85714285714283,34.0,Yes
338,2021-01-04,53080,428.0,455.57142857142856,29.714285714285722,Yes
339,2021-01-05,53364,284.0,439.57142857142856,-16.0,Yes
340,2021-01-06,54171,807.0,481.0,41.428571428571445,Yes
